road_id,date,lon,lat,daily_total
NRA_000000001013,2020-03-04,-6.24237,53.38807,42223
NRA_000000001013,2020-03-05,-6.24237,53.38807,44285
NRA_000000001013,2020-03-06,-6.24237,53.38807,45876
NRA_000000001013,2020-03-07,-6.24237,53.38807,40314
NRA_000000001013,2020-03-08,-6.24237,53.38807,39523
NRA_000000001013,2020-03-09,-6.24237,53.38807,40458
NRA_000000001013,2020-03-10,-6.24237,53.38807,39894
NRA_000000001013,2020-03-11,-6.24237,53.38807,40010
NRA_000000001013,2020-03-12,-6.24237,53.38807,40160
NRA_000000001013,2020-03-13,-6.24237,53.38807,38788
NRA_000000001013,2020-03-14,-6.24237,53.38807,28194
NRA_000000001013,2020-03-15,-6.24237,53.38807,26109
NRA_000000001013,2020-03-16,-6.24237,53.38807,31329
NRA_000000001013,2020-03-17,-6.24237,53.38807,21056
NRA_000000001013,2020-03-18,-6.24237,53.38807,29021
NRA_000000001013,2020-03-19,-6.24237,53.38807,27637
NRA_000000001013,2020-03-20,-6.24237,53.38807,27394
NRA_000000001013,2020-03-21,-6.24237,53.38807,19647
NRA_000000001013,2020-03-22,-6.24237,53.38807,18769
NRA_000000001013,2020-03-23,-6.24237,53.38807,23758
NRA_000000001013,2020-03-24,-6.24237,53.38807,23971
NRA_000000001013,2020-03-25,-6.24237,53.38807,21966
NRA_000000001013,2020-03-26,-6.24237,53.38807,22647
NRA_000000001013,2020-03-27,-6.24237,53.38807,24036
NRA_000000001013,2020-03-28,-6.24237,53.38807,9835
NRA_000000001013,2020-03-29,-6.24237,53.38807,7158
NRA_000000001013,2020-03-30,-6.24237,53.38807,13769
NRA_000000001013,2020-03-31,-6.24237,53.38807,12658
NRA_000000001013,2020-04-01,-6.24237,53.38807,12801
NRA_000000001013,2020-04-02,-6.24237,53.38807,13237
NRA_000000001013,2020-04-03,-6.24237,53.38807,13473
NRA_000000001013,2020-04-04,-6.24237,53.38807,8950
NRA_000000001013,2020-04-05,-6.24237,53.38807,7373
NRA_000000001013,2020-04-06,-6.24237,53.38807,13346
NRA_000000001013,2020-04-07,-6.24237,53.38807,13640
NRA_000000001013,2020-04-08,-6.24237,53.38807,13429
NRA_000000001013,2020-04-09,-6.24237,53.38807,13407
NRA_000000001013,2020-04-10,-6.24237,53.38807,11452
NRA_000000001013,2020-04-11,-6.24237,53.38807,8170
NRA_000000001013,2020-04-12,-6.24237,53.38807,6194
NRA_000000001013,2020-04-13,-6.24237,53.38807,7101
NRA_000000001013,2020-04-14,-6.24237,53.38807,13429
NRA_000000001013,2020-04-15,-6.24237,53.38807,13654
NRA_000000001013,2020-04-16,-6.24237,53.38807,14188
NRA_000000001013,2020-04-17,-6.24237,53.38807,14253
NRA_000000001013,2020-04-18,-6.24237,53.38807,8853
NRA_000000001013,2020-04-19,-6.24237,53.38807,7129
NRA_000000001013,2020-04-20,-6.24237,53.38807,13744
NRA_000000001013,2020-04-21,-6.24237,53.38807,13964
NRA_000000001013,2020-04-22,-6.24237,53.38807,14429
NRA_000000001013,2020-04-23,-6.24237,53.38807,14740
NRA_000000001013,2020-04-24,-6.24237,53.38807,14698
NRA_000000001013,2020-04-25,-6.24237,53.38807,9438
NRA_000000001013,2020-04-26,-6.24237,53.38807,7660
NRA_000000001013,2020-04-27,-6.24237,53.38807,14952
NRA_000000001013,2020-04-28,-6.24237,53.38807,14860
NRA_000000001013,2020-04-29,-6.24237,53.38807,14817
NRA_000000001013,2020-04-30,-6.24237,53.38807,15311
NRA_000000001013,2020-05-01,-6.24237,53.38807,15441
NRA_000000001013,2020-05-02,-6.24237,53.38807,9879
NRA_000000001013,2020-05-03,-6.24237,53.38807,7852
NRA_000000001013,2020-05-04,-6.24237,53.38807,8697
NRA_000000001013,2020-05-05,-6.24237,53.38807,16526
NRA_000000001013,2020-05-06,-6.24237,53.38807,16441
NRA_000000001013,2020-05-07,-6.24237,53.38807,16860
NRA_000000001014,2020-01-09,-6.22294,53.4178,136548
NRA_000000001014,2020-01-10,-6.22294,53.4178,141285
NRA_000000001014,2020-01-11,-6.22294,53.4178,110256
NRA_000000001014,2020-01-12,-6.22294,53.4178,107388
NRA_000000001014,2020-01-13,-6.22294,53.4178,131518
NRA_000000001014,2020-01-14,-6.22294,53.4178,134139
NRA_000000001014,2020-01-15,-6.22294,53.4178,136510
NRA_000000001014,2020-01-16,-6.22294,53.4178,135652
NRA_000000001014,2020-01-17,-6.22294,53.4178,146633
NRA_000000001014,2020-01-18,-6.22294,53.4178,111745
NRA_000000001014,2020-01-19,-6.22294,53.4178,110841
NRA_000000001014,2020-01-20,-6.22294,53.4178,138367
NRA_000000001014,2020-01-21,-6.22294,53.4178,132428
NRA_000000001014,2020-01-22,-6.22294,53.4178,136519
NRA_000000001014,2020-01-23,-6.22294,53.4178,142592
NRA_000000001014,2020-01-24,-6.22294,53.4178,148030
NRA_000000001014,2020-01-25,-6.22294,53.4178,116367
NRA_000000001014,2020-01-26,-6.22294,53.4178,108983
NRA_000000001014,2020-01-27,-6.22294,53.4178,137004
NRA_000000001014,2020-01-28,-6.22294,53.4178,136197
NRA_000000001014,2020-01-29,-6.22294,53.4178,137790
NRA_000000001014,2020-01-30,-6.22294,53.4178,144404
NRA_000000001014,2020-01-31,-6.22294,53.4178,148623
NRA_000000001014,2020-02-01,-6.22294,53.4178,117295
NRA_000000001014,2020-02-02,-6.22294,53.4178,117034
NRA_000000001014,2020-02-03,-6.22294,53.4178,137229
NRA_000000001014,2020-02-04,-6.22294,53.4178,136668
NRA_000000001014,2020-02-05,-6.22294,53.4178,138103
NRA_000000001014,2020-02-06,-6.22294,53.4178,143901
NRA_000000001014,2020-02-07,-6.22294,53.4178,149060
NRA_000000001014,2020-02-08,-6.22294,53.4178,117329
NRA_000000001014,2020-02-09,-6.22294,53.4178,100450
NRA_000000001014,2020-02-10,-6.22294,53.4178,140524
NRA_000000001014,2020-02-11,-6.22294,53.4178,133612
NRA_000000001014,2020-02-12,-6.22294,53.4178,140524
NRA_000000001014,2020-02-13,-6.22294,53.4178,145462
NRA_000000001014,2020-02-14,-6.22294,53.4178,148229
NRA_000000001014,2020-02-15,-6.22294,53.4178,108199
NRA_000000001014,2020-02-16,-6.22294,53.4178,106272
NRA_000000001014,2020-02-17,-6.22294,53.4178,141984
NRA_000000001014,2020-02-19,-6.22294,53.4178,140650
NRA_000000001014,2020-02-21,-6.22294,53.4178,148458
NRA_000000001014,2020-02-22,-6.22294,53.4178,116052
NRA_000000001014,2020-02-23,-6.22294,53.4178,111561
NRA_000000001014,2020-02-24,-6.22294,53.4178,138994
NRA_000000001014,2020-02-25,-6.22294,53.4178,138618
NRA_000000001014,2020-02-26,-6.22294,53.4178,141092
NRA_000000001014,2020-02-27,-6.22294,53.4178,147305
NRA_000000001014,2020-02-28,-6.22294,53.4178,152465
NRA_000000001014,2020-02-29,-6.22294,53.4178,112618
NRA_000000001014,2020-03-01,-6.22294,53.4178,115708
NRA_000000001014,2020-03-02,-6.22294,53.4178,137641
NRA_000000001014,2020-03-04,-6.22294,53.4178,140036
NRA_000000001014,2020-03-05,-6.22294,53.4178,144341
NRA_000000001014,2020-03-06,-6.22294,53.4178,148926
NRA_000000001014,2020-03-07,-6.22294,53.4178,116610
NRA_000000001014,2020-03-08,-6.22294,53.4178,112352
NRA_000000001014,2020-03-09,-6.22294,53.4178,136561
NRA_000000001014,2020-03-10,-6.22294,53.4178,133776
NRA_000000001014,2020-03-11,-6.22294,53.4178,133730
NRA_000000001014,2020-03-12,-6.22294,53.4178,133324
NRA_000000001014,2020-03-13,-6.22294,53.4178,125541
NRA_000000001014,2020-03-14,-6.22294,53.4178,84740
NRA_000000001014,2020-03-15,-6.22294,53.4178,75845
NRA_000000001014,2020-03-16,-6.22294,53.4178,99886
NRA_000000001014,2020-03-17,-6.22294,53.4178,64067
NRA_000000001014,2020-03-18,-6.22294,53.4178,95887
NRA_000000001014,2020-03-19,-6.22294,53.4178,94196
NRA_000000001014,2020-03-20,-6.22294,53.4178,94033
NRA_000000001014,2020-03-21,-6.22294,53.4178,59925
NRA_000000001014,2020-03-22,-6.22294,53.4178,56062
NRA_000000001014,2020-03-23,-6.22294,53.4178,80065
NRA_000000001014,2020-03-24,-6.22294,53.4178,78888
NRA_000000001014,2020-03-25,-6.22294,53.4178,73205
NRA_000000001014,2020-03-26,-6.22294,53.4178,73103
NRA_000000001014,2020-03-27,-6.22294,53.4178,76679
NRA_000000001014,2020-03-28,-6.22294,53.4178,29068
NRA_000000001014,2020-03-29,-6.22294,53.4178,19600
NRA_000000001014,2020-03-30,-6.22294,53.4178,43720
NRA_000000001014,2020-03-31,-6.22294,53.4178,40957
NRA_000000001014,2020-04-01,-6.22294,53.4178,41104
NRA_000000001014,2020-04-02,-6.22294,53.4178,41262
NRA_000000001014,2020-04-03,-6.22294,53.4178,42633
NRA_000000001014,2020-04-04,-6.22294,53.4178,25177
NRA_000000001014,2020-04-05,-6.22294,53.4178,19460
NRA_000000001014,2020-04-06,-6.22294,53.4178,41897
NRA_000000001014,2020-04-07,-6.22294,53.4178,42658
NRA_000000001014,2020-04-08,-6.22294,53.4178,42068
NRA_000000001014,2020-04-09,-6.22294,53.4178,41344
NRA_000000001014,2020-04-10,-6.22294,53.4178,34840
NRA_000000001014,2020-04-11,-6.22294,53.4178,21763
NRA_000000001014,2020-04-12,-6.22294,53.4178,14576
NRA_000000001014,2020-04-13,-6.22294,53.4178,18824
NRA_000000001014,2020-04-14,-6.22294,53.4178,41062
NRA_000000001014,2020-04-15,-6.22294,53.4178,41564
NRA_000000001014,2020-04-16,-6.22294,53.4178,43030
NRA_000000001014,2020-04-17,-6.22294,53.4178,44168
NRA_000000001014,2020-04-18,-6.22294,53.4178,24453
NRA_000000001014,2020-04-19,-6.22294,53.4178,18291
NRA_000000001014,2020-04-20,-6.22294,53.4178,42692
NRA_000000001014,2020-04-21,-6.22294,53.4178,43586
NRA_000000001014,2020-04-22,-6.22294,53.4178,44549
NRA_000000001014,2020-04-23,-6.22294,53.4178,45187
NRA_000000001014,2020-04-24,-6.22294,53.4178,45291
NRA_000000001014,2020-04-25,-6.22294,53.4178,25957
NRA_000000001014,2020-04-26,-6.22294,53.4178,19395
NRA_000000001014,2020-04-27,-6.22294,53.4178,45087
NRA_000000001014,2020-04-28,-6.22294,53.4178,45277
NRA_000000001014,2020-04-29,-6.22294,53.4178,45817
NRA_000000001014,2020-04-30,-6.22294,53.4178,46743
NRA_000000001014,2020-05-01,-6.22294,53.4178,47489
NRA_000000001014,2020-05-02,-6.22294,53.4178,26074
NRA_000000001014,2020-05-03,-6.22294,53.4178,19740
NRA_000000001014,2020-05-04,-6.22294,53.4178,23341
NRA_000000001014,2020-05-05,-6.22294,53.4178,51146
NRA_000000001014,2020-05-06,-6.22294,53.4178,51993
NRA_000000001014,2020-05-07,-6.22294,53.4178,52216
NRA_000000001015,2020-01-09,-6.19982,53.50218,63004
NRA_000000001015,2020-01-10,-6.19982,53.50218,60876
NRA_000000001015,2020-01-11,-6.19982,53.50218,43243
NRA_000000001015,2020-01-12,-6.19982,53.50218,43720
NRA_000000001015,2020-01-13,-6.19982,53.50218,56511
NRA_000000001015,2020-01-14,-6.19982,53.50218,60093
NRA_000000001015,2020-01-15,-6.19982,53.50218,61480
NRA_000000001015,2020-01-16,-6.19982,53.50218,59579
NRA_000000001015,2020-01-17,-6.19982,53.50218,64947
NRA_000000001015,2020-01-18,-6.19982,53.50218,46948
NRA_000000001015,2020-01-19,-6.19982,53.50218,44212
NRA_000000001015,2020-01-20,-6.19982,53.50218,56157
NRA_000000001015,2020-01-21,-6.19982,53.50218,55249
NRA_000000001015,2020-01-22,-6.19982,53.50218,56443
NRA_000000001015,2020-01-23,-6.19982,53.50218,58381
NRA_000000001015,2020-01-24,-6.19982,53.50218,62665
NRA_000000001015,2020-01-25,-6.19982,53.50218,47572
NRA_000000001015,2020-01-26,-6.19982,53.50218,43334
NRA_000000001015,2020-01-27,-6.19982,53.50218,58176
NRA_000000001015,2020-01-28,-6.19982,53.50218,57574
NRA_000000001015,2020-01-29,-6.19982,53.50218,58024
NRA_000000001015,2020-01-30,-6.19982,53.50218,61259
NRA_000000001015,2020-01-31,-6.19982,53.50218,65185
NRA_000000001015,2020-02-01,-6.19982,53.50218,47412
NRA_000000001015,2020-02-02,-6.19982,53.50218,46952
NRA_000000001015,2020-02-03,-6.19982,53.50218,57775
NRA_000000001015,2020-02-04,-6.19982,53.50218,60844
NRA_000000001015,2020-02-05,-6.19982,53.50218,58926
NRA_000000001015,2020-02-06,-6.19982,53.50218,60397
NRA_000000001015,2020-02-07,-6.19982,53.50218,62025
NRA_000000001015,2020-02-08,-6.19982,53.50218,49997
NRA_000000001015,2020-02-09,-6.19982,53.50218,38656
NRA_000000001015,2020-02-10,-6.19982,53.50218,55379
NRA_000000001015,2020-02-11,-6.19982,53.50218,55462
NRA_000000001015,2020-02-12,-6.19982,53.50218,59355
NRA_000000001015,2020-02-13,-6.19982,53.50218,62528
NRA_000000001015,2020-02-14,-6.19982,53.50218,65430
NRA_000000001015,2020-02-15,-6.19982,53.50218,43568
NRA_000000001015,2020-02-16,-6.19982,53.50218,38635
NRA_000000001015,2020-02-17,-6.19982,53.50218,60814
NRA_000000001015,2020-02-18,-6.19982,53.50218,60681
NRA_000000001015,2020-02-19,-6.19982,53.50218,62092
NRA_000000001015,2020-02-20,-6.19982,53.50218,66018
NRA_000000001015,2020-02-21,-6.19982,53.50218,69794
NRA_000000001015,2020-02-22,-6.19982,53.50218,50212
NRA_000000001015,2020-02-23,-6.19982,53.50218,46378
NRA_000000001015,2020-02-24,-6.19982,53.50218,60512
NRA_000000001015,2020-02-25,-6.19982,53.50218,61825
NRA_000000001015,2020-02-26,-6.19982,53.50218,60965
NRA_000000001015,2020-02-27,-6.19982,53.50218,62752
NRA_000000001015,2020-02-28,-6.19982,53.50218,66669
NRA_000000001015,2020-02-29,-6.19982,53.50218,42690
NRA_000000001015,2020-03-01,-6.19982,53.50218,47292
NRA_000000001015,2020-03-02,-6.19982,53.50218,60021
NRA_000000001015,2020-03-03,-6.19982,53.50218,62155
NRA_000000001015,2020-03-04,-6.19982,53.50218,60269
NRA_000000001015,2020-03-05,-6.19982,53.50218,61197
NRA_000000001015,2020-03-06,-6.19982,53.50218,62911
NRA_000000001015,2020-03-07,-6.19982,53.50218,46100
NRA_000000001015,2020-03-08,-6.19982,53.50218,42731
NRA_000000001015,2020-03-09,-6.19982,53.50218,57632
NRA_000000001015,2020-03-10,-6.19982,53.50218,60420
NRA_000000001015,2020-03-11,-6.19982,53.50218,61350
NRA_000000001015,2020-03-12,-6.19982,53.50218,58399
NRA_000000001015,2020-03-13,-6.19982,53.50218,54440
NRA_000000001015,2020-03-14,-6.19982,53.50218,30973
NRA_000000001015,2020-03-15,-6.19982,53.50218,29797
NRA_000000001015,2020-03-16,-6.19982,53.50218,45928
NRA_000000001015,2020-03-17,-6.19982,53.50218,23949
NRA_000000001015,2020-03-18,-6.19982,53.50218,44978
NRA_000000001015,2020-03-19,-6.19982,53.50218,45816
